39536	
	(-5.897436116e-13,-6.169639842e-13)	(6.167559855e-14,1.550260836e-13)	(1.934373324e-13,1.800726596e-13)	(4.442331965e-13,-4.826871431e-13)	(-2.983904477e-13,-6.159204112e-14)
	(-2.332583849e-13,5.625011891e-13)	(7.879017744e-14,-8.363666165e-13)	(1.149265299e-45,-6.767017002e-45)	(3.855872081e-44,-2.484476854e-44)	(-8.130854129e-45,-1.407529427e-44)
	(-3.699601954e-13,7.792506255e-14)	(2.832129226e-45,-2.991022371e-45)	(1.01707057e-43,7.614127774e-44)	(2.523783617e-45,-3.078563103e-44)	(-6.078233626e-14,-4.722060569e-13)
	(1.497315881e-13,2.000198338e-13)	(-2.76852275e-13,7.061805497e-13)	(-3.103330154e-13,4.344203442e-14)	(-4.797628138e-13,1.704144061e-13)	(-1.78439768e-13,-1.497733346e-13)
	(4.058732854e-14,3.295601267e-13)	(5.351911451e-13,7.649523118e-13)	(-7.137675853e-14,8.540299612e-13)	(6.45475387e-13,1.616733071e-13)	(-3.75893569e-13,3.979140649e-15)
	(-1.77408313e-13,8.074816014e-13)	(-1.249282291e-12,-2.275756571e-13)	(5.61356018e-14,2.962835672e-14)	(-1.330679161e-13,-1.09669292e-13)	(-8.837961368e-13,6.270084277e-14)
	(5.02437823e-14,2.775477303e-13)	(1.201196672e-13,-4.405285833e-13)	(1.793694267e-13,8.096069812e-13)	(-1.757899175e-13,9.623708996e-13)	(1.218476886e-13,-2.815777917e-13)
	(-6.413887171e-14,-6.038330578e-13)	(-1.552218525e-13,-1.249176659e-12)	(1.455484195e-13,-4.610114685e-13)	(6.670718433e-13,4.347519195e-13)	(1.059367344e-13,-6.147789139e-14)
	(2.298628478e-13,-4.710340727e-13)	(2.004668623e-13,2.746608236e-13)	(1.58551787e-14,-4.602862234e-13)	(-1.840825829e-45,-1.11099192e-44)	(1.677606027e-13,5.298720247e-13)
	(-7.92138357e-13,6.868462166e-13)	(3.335573467e-13,3.380628e-13)	(-6.087880998e-13,8.138332333e-13)	(-6.739343938e-13,-1.841843215e-13)	(-2.086122849e-45,-2.219967743e-45)
	(-7.509806125e-13,3.649094758e-13)	(1.131140351e-13,-1.56702024e-12)	(8.51460954e-15,-7.820375541e-14)	(1.287286299e-13,3.124622368e-13)	(1.845637484e-13,-3.091939061e-13)
	(1.854775653e-13,-2.620825275e-13)	(6.559885897e-13,1.153102777e-13)	(1.847067109e-13,6.068162966e-14)	(1.96829812e-13,-1.992240885e-13)	(-9.501442388e-13,-2.578889807e-13)
	(-6.218187695e-13,2.162746274e-13)	(1.375055809e-13,1.335840376e-13)	(5.054757971e-13,8.335091937e-14)	(3.121000843e-13,7.841625385e-14)	(-2.332717835e-13,-2.028806283e-13)
