39536	
	(4.11041275e-13,-6.084448779e-13)	(-1.18659569e-13,7.93826846e-14)	(-1.145786036e-13,1.932039555e-13)	(4.907256988e-13,2.798609522e-13)	(-7.039749712e-15,-2.607596982e-13)
	(-5.132454672e-13,-9.498698821e-14)	(7.142220619e-13,-9.008362688e-14)	(5.899453408e-45,-2.710921374e-46)	(2.803242275e-44,2.747294502e-44)	(1.031366183e-44,-9.427547549e-45)
	(-1.356971172e-13,-2.925220474e-13)	(3.064394841e-45,1.74745338e-45)	(-4.479929945e-44,9.932845878e-44)	(2.616645066e-44,-3.60458538e-45)	(3.808022243e-13,-1.383538743e-13)
	(-1.386864133e-13,1.629440459e-13)	(-6.390200248e-13,-1.031212582e-13)	(-9.474190438e-14,-2.455076505e-13)	(-2.275319002e-13,-3.726846957e-13)	(9.103708097e-14,-1.825863887e-13)
	(-2.685883919e-13,9.260274625e-14)	(-5.394675177e-13,5.877500588e-13)	(-7.262135375e-13,9.560480845e-14)	(-1.748481268e-14,5.692641597e-13)	(-7.074181762e-14,-3.091013829e-13)
	(-7.059221235e-13,5.020910443e-15)	(-4.016725087e-14,-1.089086909e-12)	(-1.455632408e-14,5.598685511e-14)	(7.104614503e-14,-1.274717801e-13)	(-2.125979871e-13,-7.198270124e-13)
	(-2.25433233e-13,9.338114795e-14)	(3.862470723e-13,2.03191728e-14)	(-6.474503493e-13,2.978652269e-13)	(-8.410032533e-13,3.022567462e-14)	(2.604423041e-13,5.121205573e-14)
	(4.930605426e-13,-1.57349814e-13)	(1.017486374e-12,-3.640528116e-13)	(4.149070996e-13,3.757832161e-14)	(-2.392597408e-13,6.355525434e-13)	(7.871143806e-14,7.918748499e-14)
	(4.306122592e-13,1.047053003e-13)	(-1.926986837e-13,2.169784648e-13)	(3.901246886e-13,-6.305151594e-14)	(8.930550578e-45,-3.617581478e-45)	(-4.093595553e-13,2.347522418e-13)
	(-7.174147844e-13,-5.296874394e-13)	(-2.1849273e-13,3.388964308e-13)	(-7.917129771e-13,-3.583540912e-13)	(3.036688636e-14,-6.011142808e-13)	(1.543079785e-45,-2.183736887e-45)
	(-4.463619693e-13,-5.572316013e-13)	(1.324465308e-12,-1.977568229e-13)	(6.702896402e-14,-7.736059452e-15)	(-2.400045047e-13,1.598183746e-13)	(2.944557241e-13,9.120492638e-14)
	(2.569974244e-13,1.001351025e-13)	(2.559043943e-14,5.700606119e-13)	(-2.063380332e-14,1.653357149e-13)	(2.021332918e-13,1.250297144e-13)	(3.734112254e-14,-8.448550131e-13)
	(-2.95876305e-13,-4.779901793e-13)	(-8.94463666e-14,1.385354133e-13)	(2.857861737e-14,4.403442563e-13)	(-1.262414827e-14,2.741592395e-13)	(1.236885095e-13,-2.400702621e-13)
	(4.393486067e-13,2.12523194e-13)	(1.727571771e-44,-1.384005246e-45)	(-6.698344156e-44,9.74781856e-44)	(-8.817738894e-45,2.848862019e-45)	(1.199661517e-12,-1.318726084e-12)
	(9.472497884e-45,-4.814446117e-45)	(-9.369270467e-44,1.375101585e-43)	(-1.219377368e-44,-5.094393741e-45)	(-3.103111417e-13,-4.396532624e-14)	(4.881675529e-13,1.726458891e-13)
	(6.861903636e-13,-2.637060747e-13)	(1.703111324e-14,7.628018705e-14)	(-2.720582322e-13,2.463320022e-13)	(4.521903976e-13,4.585778062e-13)	(-1.286919793e-13,-8.497389331e-14)
	(8.543846516e-14,4.51324196e-13)	(8.12175469e-13,-6.440421472e-13)	(-1.832209486e-13,6.607224059e-14)	(2.855161558e-13,-1.200629884e-13)	(7.310120323e-14,1.609383832e-13)
	(-3.32438949e-13,4.972691787e-14)	(4.838887888e-13,2.58782981e-13)	(2.710606003e-13,3.963350664e-14)	(9.027656788e-13,-7.072318429e-13)	(1.888935403e-14,-8.221835417e-14)
	(-2.432035827e-13,4.489475964e-13)	(-2.815011983e-13,5.729201129e-13)	(4.125380515e-14,-7.083188899e-13)	(5.166461101e-13,-6.064125745e-14)	(-3.118432929e-13,7.81133993e-13)
	(3.508578388e-13,8.223786676e-14)	(4.220170313e-13,-3.469313258e-13)	(3.521442854e-13,-2.943274884e-13)	(2.96618606e-13,7.497780459e-13)	(-5.711905616e-13,-3.385108224e-13)
	(5.7295033e-13,-6.423211808e-14)	(8.149529377e-13,9.741292514e-13)	(-1.168348991e-13,6.568609207e-13)	(1.505606539e-13,-1.027761905e-13)	(6.794273943e-14,1.988702951e-13)
	(-1.887239001e-44,1.116079102e-44)	(5.271181955e-13,-1.644040388e-13)	(-3.363470933e-13,5.931132577e-13)	(6.807664874e-14,-6.976463114e-13)	(6.344535706e-45,-5.450315e-45)
	(6.871763126e-14,1.268324626e-13)	(-3.527576883e-13,6.301013492e-14)	(1.331272242e-13,4.896791139e-13)	(-1.195766701e-13,7.709467696e-14)	(-1.548282422e-13,2.445967053e-13)
	(-2.687793506e-13,1.752944999e-13)	(5.946101477e-13,3.43082062e-13)	(-5.229494508e-13,-1.756032894e-13)	(-3.628931151e-14,-4.345199789e-13)	(-8.946726241e-14,-1.797557288e-13)
	(2.087677677e-14,3.795884579e-14)	(-2.77069983e-13,4.128947191e-13)	(-1.356986527e-14,1.209614649e-13)	(6.936727535e-14,5.966435928e-13)	(1.078753635e-13,4.731240971e-14)
	(-8.937582791e-45,1.525048732e-44)	(-2.064645937e-44,4.423927819e-44)	(1.556436427e-44,-7.774053548e-45)	(4.965748076e-13,-7.984860757e-13)	(8.094539303e-45,3.540546181e-45)
	(-3.740001882e-44,4.561311707e-44)	(-2.039532053e-44,6.617097422e-45)	(1.759694531e-13,2.03010671e-14)	(2.309035408e-14,-4.221942415e-13)	(2.081450648e-13,-6.571860446e-13)
	(3.906931282e-14,1.509102009e-13)	(1.764316872e-13,-1.378811292e-13)	(-2.736255977e-13,-5.934753131e-14)	(-4.656936874e-13,-2.166461459e-13)	(3.195761762e-13,-3.688030849e-13)
