39536	
	(-3.065256382e-15,1.318389842e-16)	(5.880712584e-16,1.873501354e-16)	(9.272096979e-16,-1.131907068e-16)	(-2.87964097e-16,-2.402592014e-15)	(-8.617238867e-16,7.05165093e-16)
	(9.76649317e-16,1.915134717e-15)	(-2.134577237e-15,-2.164501217e-15)	(-1.581742155e-47,-1.920648721e-47)	(1.941496285e-47,-1.654975908e-46)	(-5.760342503e-47,-1.079796943e-47)
	(-6.231994087e-16,1.229051583e-15)	(-2.198348974e-48,-1.520268567e-47)	(4.479981296e-46,-1.030618072e-46)	(-7.96376973e-47,-7.842960765e-47)	(-1.451096188e-15,-9.089951014e-16)
	(8.977193988e-16,4.683753385e-17)	(1.306246777e-15,2.413000355e-15)	(-5.533767888e-16,1.002670169e-15)	(-6.643990913e-16,1.689620666e-15)	(-8.916478667e-16,1.665334537e-16)
	(9.992007222e-16,6.643990913e-16)	(3.327199627e-15,3.07913417e-16)	(2.175126398e-15,2.210037708e-15)	(1.965441698e-15,-1.379105163e-15)	(-8.239936511e-16,1.032160468e-15)
	(1.847480502e-15,2.386979503e-15)	(-3.549244232e-15,2.900457652e-15)	(2.424276058e-16,-4.857225733e-17)	(-5.776629175e-16,9.194034423e-17)	(-1.859623566e-15,2.581268532e-15)
	(8.805890045e-16,5.499073419e-16)	(-9.419548475e-16,-1.325328736e-15)	(2.633310237e-15,1.412064909e-15)	(2.206568261e-15,2.785965902e-15)	(-4.822531263e-16,-9.957312752e-16)
	(-1.78156101e-15,-1.231653668e-15)	(-3.819861094e-15,-2.502338614e-15)	(-8.847089727e-16,-1.481453848e-15)	(2.737610486e-15,-8.378714389e-16)	(7.372574773e-17,-4.909267437e-16)
	(-7.771561172e-16,-1.644517855e-15)	(1.224064253e-15,7.806255642e-17)	(-1.161831048e-15,-1.129304983e-15)	(-3.536602264e-47,-2.063374356e-47)	(1.82145965e-15,7.389922008e-16)
	(1.006139616e-16,3.763482581e-15)	(1.675742878e-15,-1.873501354e-16)	(8.465450563e-16,3.552713679e-15)	(-2.092076512e-15,1.428978463e-15)	(-1.060553037e-47,-2.138211768e-50)
	(-7.147060721e-16,2.932550036e-15)	(-4.065324466e-15,-3.915975617e-15)	(-1.938553484e-16,-2.049413157e-16)	(1.099814684e-15,3.504141421e-16)	(-4.597017211e-16,-1.259409244e-15)
	(-3.295974604e-16,-1.169203623e-15)	(1.855286758e-15,-1.575128916e-15)	(5.950101523e-16,-3.421742056e-16)	(-1.049507703e-16,-9.857566152e-16)	(-2.950764633e-15,2.050443149e-15)
	(-8.031769694e-16,2.21567556e-15)	(6.661338148e-16,-2.775557562e-17)	(1.436351038e-15,-1.280225925e-15)	(9.315465066e-16,-6.444497713e-16)	(-1.167468899e-15,1.838806885e-16)
	(-4.080936977e-16,-2.016616041e-15)	(-4.88581389e-47,-5.457785538e-47)	(4.998283829e-46,-2.206634545e-47)	(3.292846123e-47,2.172423156e-47)	(-7.497474863e-15,-6.765421556e-16)
	(-4.02090723e-47,-1.922252379e-47)	(7.013334599e-46,-3.750423441e-47)	(1.347073414e-47,5.393639185e-47)	(6.696032617e-16,1.17267307e-15)	(-6.4878658e-16,-2.087251812e-15)
	(-2.602085214e-15,-1.653841994e-15)	(2.220446049e-16,-2.818925648e-16)	(1.527329153e-15,3.035766083e-16)	(3.829402073e-16,-2.671474153e-15)	(1.864827737e-17,6.461844948e-16)
	(1.276756478e-15,-1.412064909e-15)	(-4.218847494e-15,-1.120631365e-15)	(7.320533069e-16,4.588343594e-16)	(-1.145351175e-15,-6.609296443e-16)	(3.955169525e-16,-6.912873052e-16)
	(1.030425745e-15,9.855397748e-16)	(-3.808531181e-16,-2.255140519e-15)	(-5.950101523e-16,-1.020017404e-15)	(-4.678549215e-15,-1.195224475e-15)	(-3.265616944e-16,1.578598363e-16)
	(2.095545959e-15,-3.486794187e-16)	(2.603819937e-15,-4.70110062e-16)	(-2.477185124e-15,1.703498453e-15)	(-1.549758585e-15,-1.608088662e-15)	(3.476385846e-15,-9.488937414e-16)
	(-6.149594722e-16,-1.361757929e-15)	(-2.222180773e-15,-5.06539255e-16)	(-1.859623566e-15,-4.614364446e-16)	(1.856154119e-15,-2.890049311e-15)	(3.365363543e-16,2.789435349e-15)
	(-1.674008154e-15,-1.76161169e-15)	(1.229918944e-15,-5.271824643e-15)	(2.466776783e-15,-1.29757316e-15)	(-7.58074159e-16,-2.602085214e-16)	(4.961309141e-16,-7.494005416e-16)
	(8.698245473e-47,3.461764853e-47)	(-1.897787483e-15,-1.360023205e-15)	(2.785965902e-15,-4.510281038e-16)	(-2.509277508e-15,1.54216917e-15)	(-3.493838029e-47,-7.419594835e-48)
	(1.665334537e-16,-5.464378949e-16)	(1.115427195e-15,9.818534874e-16)	(1.207367539e-15,-1.660130367e-15)	(5.412337245e-16,2.268150945e-16)	(1.160530005e-15,-1.665334537e-16)
	(1.274154393e-15,5.03069808e-16)	(-3.694961004e-16,-2.869232629e-15)	(7.303185834e-16,2.26554886e-15)	(-1.375635716e-15,1.254205073e-15)	(-3.955169525e-16,7.979727989e-16)
	(7.025630078e-17,-6.591949209e-17)	(2.036565361e-15,-1.006139616e-16)	(4.189357194e-16,-2.582569575e-16)	(1.797173521e-15,-1.727784582e-15)	(-1.079865364e-16,-4.889751798e-16)
	(7.408903776e-47,-8.552847072e-48)	(2.003076784e-46,-4.460309748e-47)	(-6.551480857e-47,-3.240459935e-47)	(-3.936087567e-15,3.929148673e-16)	(-9.151546367e-48,-3.707659206e-47)
	(2.478615082e-46,8.745286131e-48)	(7.381107023e-47,5.131708243e-47)	(-3.747002708e-16,-6.366435157e-16)	(-1.494464275e-15,1.013664657e-15)	(-2.685351941e-15,9.835882109e-16)
	(4.232725281e-16,-4.961309141e-16)	(-8.534839502e-16,-1.977584763e-16)	(4.769947458e-16,1.120631365e-15)	(4.562322742e-16,2.123301535e-15)	(-2.044371616e-15,-1.908195824e-16)
	(1.05818132e-16,1.380839887e-15)	(-1.460637167e-15,1.065120214e-15)	(-6.609296443e-16,-5.707240236e-16)	(-2.466776783e-15,-5.450501162e-15)	(-9.84130312e-16,-1.118896642e-15)
	(-1.916869441e-16,6.557254739e-16)	(-1.643216813e-15,-3.505876145e-15)	(-2.213073474e-15,1.559516405e-15)	(-1.353084311e-15,-8.604228441e-16)	(-2.475016719e-15,-2.593411597e-15)
	(-5.551115123e-17,-5.298441807e-15)	(-1.366962099e-15,-7.008282843e-16)	(1.1379786e-15,9.263423362e-16)	(2.053912596e-15,-1.174407793e-15)	(-1.960454368e-15,-1.427677421e-15)
	(-1.325328736e-15,-3.538835891e-16)	(-7.285838599e-17,-1.908195824e-16)	(2.140648769e-15,-2.975050761e-15)	(-2.003605615e-15,1.387778781e-17)	(-1.043436171e-15,1.568190022e-15)
	(-1.346145417e-15,-3.642051938e-15)	(-5.828670879e-16,-1.127570259e-17)	(5.06539255e-16,1.785030457e-15)	(-2.511879593e-15,-3.92264346e-16)	(-3.7247649e-47,9.814392015e-48)
	(-7.632783294e-17,2.468511506e-15)	(-3.422609418e-15,-2.477185124e-15)	(4.926439914e-47,6.286342598e-48)	(-2.289834988e-16,4.631711681e-15)	(-4.600486658e-15,-8.67361738e-16)
	(5.139660399e-16,-2.732189475e-17)	(-1.266348137e-16,-1.061650767e-15)	(1.902991653e-15,2.949029909e-15)	(-1.380839887e-15,-1.190020305e-15)	(4.00721123e-16,1.545638617e-15)
	(1.783295733e-15,2.255140519e-15)	(-4.145989108e-16,3.590877595e-15)	(2.352285033e-15,-1.070324385e-15)	(-2.498001805e-16,1.592476151e-15)	(-2.308916947e-15,1.078998002e-15)
	(-1.033895192e-15,2.423408696e-15)	(1.562985852e-15,1.460637167e-15)	(1.091141066e-15,1.249000903e-15)	(8.326672685e-17,2.220446049e-15)	(-3.20143757e-47,-3.177382687e-47)
	(-3.455350217e-47,3.566537229e-47)	(-1.739435273e-47,-6.376147492e-47)	(1.535230276e-15,-5.763618749e-16)	(-1.845745778e-15,9.031946198e-16)	(7.485331799e-16,-9.89659743e-16)
	(6.548581122e-17,-2.383943737e-15)	(-7.440976953e-48,3.658480335e-47)	(-3.344163205e-46,-2.798919204e-47)	(-3.685775945e-47,1.067822957e-46)	(-1.234255753e-15,1.231653668e-15)
	(5.837344497e-16,1.994931997e-16)	(-8.604228441e-16,1.096345237e-15)	(-2.13110779e-15,3.665470705e-15)	(1.817990203e-15,-1.111957748e-15)	(9.020562075e-16,1.318389842e-15)
	(-3.216177324e-15,-9.558326353e-16)	(3.868433351e-15,1.807581862e-15)	(-1.072059108e-15,2.466925861e-15)	(-5.42968448e-16,-1.916002079e-15)	(1.09287579e-15,-2.91433544e-16)
