39536	
	(-6.401559704e-13,8.864756827e-13)	(1.811421806e-13,-1.144841394e-13)	(1.828104701e-13,-2.87496709e-13)	(-7.089153355e-13,-4.520024657e-13)	(-1.148921138e-14,3.915808862e-13)
	(7.644806604e-13,1.616112251e-13)	(-1.074811349e-12,9.273807788e-14)	(-8.79209031e-45,1.255315509e-46)	(-4.021660118e-44,-4.31224352e-44)	(-1.586965563e-44,1.350249195e-44)
	(1.824899577e-13,4.514846909e-13)	(-4.407644412e-45,-2.943377058e-45)	(7.275694995e-44,-1.459519599e-43)	(-3.951482519e-44,3.914930067e-45)	(-5.84826561e-13,1.860058539e-13)
	(2.188989642e-13,-2.348700218e-13)	(9.582633617e-13,1.845711709e-13)	(1.263639212e-13,3.868108387e-13)	(3.28889754e-13,5.640939483e-13)	(-1.492273746e-13,2.557236399e-13)
	(4.064128998e-13,-1.293134154e-13)	(8.43738246e-13,-8.540958239e-13)	(1.096423239e-12,-1.094708046e-13)	(5.369990895e-14,-8.5317165e-13)	(9.387566923e-14,4.774287321e-13)
	(1.063372725e-12,4.047676398e-14)	(1.511715993e-15,1.629145854e-12)	(2.47257577e-14,-7.498374626e-14)	(-1.043590294e-13,1.964309237e-13)	(2.868112369e-13,1.108047836e-12)
	(3.3705194e-13,-1.27470404e-13)	(-5.876611296e-13,-4.849122423e-14)	(9.784384403e-13,-4.149256095e-13)	(1.253753665e-12,-6.02824365e-16)	(-3.81850567e-13,-8.797109608e-14)
	(-7.47472822e-13,2.269988099e-13)	(-1.54142373e-12,4.821733224e-13)	(-6.140777026e-13,-7.672848545e-14)	(3.956065145e-13,-9.455493219e-13)	(-9.57384257e-14,-1.186437828e-13)
	(-6.527335465e-13,-1.814433219e-13)	(3.004710661e-13,-3.17944284e-13)	(-5.827387674e-13,9.319295548e-14)	(-1.362801477e-44,4.877180829e-45)	(6.32544287e-13,-3.374703434e-13)
	(1.05417211e-12,8.462820994e-13)	(3.516983716e-13,-5.017160014e-13)	(1.170035691e-12,5.810880742e-13)	(-7.64073918e-14,8.911535656e-13)	(-2.269618062e-45,3.121457915e-45)
	(6.330235319e-13,8.671931547e-13)	(-2.011680986e-12,2.177975256e-13)	(-1.007649558e-13,6.990643424e-15)	(3.62454233e-13,-2.389718005e-13)	(-4.324947218e-13,-1.666087474e-13)
	(-3.718089855e-13,-1.792379823e-13)	(-5.55013531e-15,-8.553943435e-13)	(3.06952436e-14,-2.473157294e-13)	(-2.981818297e-13,-2.046980262e-13)	(-1.084368148e-13,1.258213804e-12)
	(4.170808536e-13,7.372168861e-13)	(1.344107271e-13,-2.052067349e-13)	(-7.756564544e-15,-6.565177356e-13)	(2.305345125e-14,-4.131351775e-13)	(-2.052908306e-13,3.359658805e-13)
	(-6.449045759e-13,-3.431604824e-13)	(-2.596595465e-44,9.74137672e-46)	(1.0559267e-43,-1.415443711e-43)	(1.354157287e-44,-3.646990148e-45)	(-1.868026997e-12,1.898083951e-12)
	(-1.448345928e-44,6.753514539e-45)	(1.481093374e-43,-2.002615033e-43)	(1.780523634e-44,8.209987086e-45)	(4.678867918e-13,8.610258476e-14)	(-7.167295888e-13,-2.862885139e-13)
	(-1.032687567e-12,3.518200907e-13)	(-1.082321251e-14,-1.242137689e-13)	(4.170551149e-13,-3.51294106e-13)	(-6.539046632e-13,-7.096957205e-13)	(1.831065128e-13,1.226628855e-13)
	(-1.133938258e-13,-6.815526596e-13)	(-1.240908293e-12,9.154183416e-13)	(2.839535969e-13,-8.073335631e-14)	(-4.371421568e-13,1.544817973e-13)	(-8.294921265e-14,-2.354393735e-13)
	(5.019647253e-13,-6.006290706e-14)	(-7.16931592e-13,-4.186928819e-13)	(-4.045284534e-13,-8.845022724e-14)	(-1.395567373e-12,1.0088667e-12)	(-2.690450976e-14,1.237544733e-13)
	(3.868659148e-13,-6.648774536e-13)	(4.353738117e-13,-8.481259085e-13)	(-1.037843286e-13,1.064691177e-12)	(-7.810933616e-13,5.507332455e-14)	(5.207220631e-13,-1.138278836e-12)
	(-5.198407664e-13,-1.398478593e-13)	(-6.431332775e-13,5.094208366e-13)	(-5.40528825e-13,4.282577192e-13)	(-4.046051848e-13,-1.120698753e-12)	(8.321847571e-13,5.362734816e-13)
