39536	
	(6.084457253e-13,2.268171892e-13)	(-9.253807395e-14,-8.535636151e-14)	(-1.888587423e-13,-5.784033673e-14)	(-1.36014245e-13,4.811319082e-13)	(2.218034548e-13,-6.193016446e-14)
	(-2.424895662e-14,-4.601423133e-13)	(2.271523958e-13,5.935530936e-13)	(1.460384058e-45,5.014130819e-45)	(-1.76134535e-44,2.981908569e-44)	(1.025404127e-44,6.888953266e-45)
	(2.213022967e-13,-1.78201994e-13)	(-8.273038512e-46,3.004170891e-45)	(-9.461016952e-44,-1.759740799e-44)	(8.568525609e-45,2.166096351e-44)	(1.981477443e-13,2.964111135e-13)
	(-1.689646731e-13,-8.443649693e-14)	(-4.412150471e-14,-5.684780751e-13)	(1.881859065e-13,-1.325570628e-13)	(2.734261447e-13,-2.717226707e-13)	(1.777946501e-13,3.897560744e-14)
	(-1.346830951e-13,-2.112597132e-13)	(-6.162118029e-13,-3.392089332e-13)	(-2.327048706e-13,-6.023747844e-13)	(-4.916806534e-13,1.034009454e-13)	(2.485675111e-13,-1.241235774e-13)
	(-1.534626793e-13,-6.030626016e-13)	(9.263680743e-13,-2.621591525e-13)	(-5.252225768e-14,-5.784046351e-16)	(1.227719242e-13,3.614695909e-14)	(5.698115448e-13,-3.309961877e-13)
	(-1.274320268e-13,-1.748070794e-13)	(6.250611232e-14,3.337248938e-13)	(-3.902816102e-13,-4.944295082e-13)	(-2.017941107e-13,-7.163472902e-13)	(1.014477786e-14,2.351209873e-13)
	(2.34777921e-13,3.903336709e-13)	(5.263770373e-13,7.966823576e-13)	(5.430918781e-14,3.64714617e-13)	(-5.938286008e-13,-7.201635388e-14)	(-5.17605764e-14,8.724150607e-14)
	(4.287054211e-17,3.887526681e-13)	(-2.25745077e-13,-1.199840101e-13)	(1.322437977e-13,3.228266765e-13)	(4.977567935e-45,6.890753263e-45)	(-2.85295063e-13,-3.010389016e-13)
	(3.020332516e-13,-7.241512465e-13)	(-3.350711193e-13,-1.15618289e-13)	(1.417000958e-13,-7.53162829e-13)	(5.232186385e-13,-9.950542797e-14)	(2.212902788e-45,8.94519901e-46)
	(3.829034261e-13,-4.999848739e-13)	(4.47166729e-13,1.091297168e-12)	(2.082096514e-14,5.585513558e-14)	(-1.850933794e-13,-1.737675666e-13)	(-1.409221737e-14,2.718759246e-13)
	(-2.924459148e-14,2.423007614e-13)	(-4.834407527e-13,1.414816169e-13)	(-1.461818588e-13,1.522896391e-14)	(-6.385424067e-14,1.990027602e-13)	(7.330743102e-13,-1.458924537e-13)
	(3.472080278e-13,-3.535239548e-13)	(-1.372297758e-13,-4.90479831e-14)	(-3.721447672e-13,1.186812458e-13)	(-2.374826483e-13,4.448932922e-14)	(2.345538269e-13,5.421508025e-14)
	(-9.019537175e-14,4.21460078e-13)	(4.826574228e-45,1.451944546e-44)	(-9.774440408e-44,-3.704661468e-44)	(-4.306148472e-45,-6.930375938e-45)	(1.383848597e-12,7.528906014e-13)
	(6.098134891e-45,7.112171001e-45)	(-1.376111539e-43,-5.153174583e-44)	(1.82972829e-45,-1.155794646e-44)	(-2.763481091e-14,-2.742297459e-13)	(-4.56492332e-14,4.556277633e-13)
	(3.709607409e-13,5.348971178e-13)	(-5.997005483e-14,3.216981217e-14)	(-2.687638261e-13,-1.824074025e-13)	(-2.991004886e-13,4.834358663e-13)	(4.786865902e-14,-1.293202064e-13)
	(-3.693228487e-13,1.658545471e-13)	(7.232884748e-13,5.635756168e-13)	(-9.632513667e-14,-1.420095391e-13)	(1.643274356e-13,2.189861556e-13)	(-1.239880648e-13,9.964010727e-14)
	(-1.114526685e-13,-2.745418163e-13)	(-1.201271674e-13,4.678848583e-13)	(2.517950425e-14,2.401405361e-13)	(7.953322948e-13,6.254466166e-13)	(7.430432974e-14,1.058729648e-16)
	(-4.3489887e-13,-1.152476491e-13)	(-5.496784202e-13,-1.248377434e-13)	(6.149020227e-13,-1.131765018e-13)	(1.612671594e-13,4.294475866e-13)	(-7.374379613e-13,-1.018287035e-13)
	(2.408817215e-15,3.183792175e-13)	(3.836489348e-13,2.910411479e-13)	(3.25011144e-13,2.411350998e-13)	(-5.842714546e-13,4.114163315e-13)	(1.710587328e-13,-5.615419468e-13)
	(1.749083505e-13,4.77407955e-13)	(-6.657766732e-13,9.052510434e-13)	(-5.863860854e-13,3.485802822e-14)	(1.202461602e-13,1.064979676e-13)	(-1.558502447e-13,1.005497802e-13)
	(-1.354780094e-44,-1.382440779e-44)	(2.514093521e-13,4.167121182e-13)	(-5.732237893e-13,-1.652572464e-13)	(6.128255981e-13,-8.741383239e-14)	(6.013719922e-45,4.296205806e-45)
	(-9.287390988e-14,8.31436981e-14)	(-1.272525429e-13,-2.8831193e-13)	(-3.915390955e-13,2.119773875e-13)	(-9.159860916e-14,-8.736734428e-14)	(-2.376848933e-13,-8.283248356e-14)
	(-2.068816691e-13,-1.932928671e-13)	(-1.706959569e-13,5.801212263e-13)	(4.105135377e-14,-4.88399228e-13)	(3.647203542e-13,-1.235050354e-13)	(1.350431842e-13,-1.162269222e-13)
