39536	
	(8.011274433e-13,-5.273624663e-14)	(-1.485095511e-13,-4.921942381e-14)	(-2.45151329e-13,3.0549146e-14)	(8.365723013e-14,6.115029562e-13)	(2.224564174e-13,-1.793805886e-13)
	(-2.632217513e-13,-5.075521659e-13)	(5.559241674e-13,5.591354013e-13)	(4.187206533e-45,4.914705595e-45)	(-5.153423372e-45,4.270566023e-44)	(1.505780067e-44,2.613250265e-45)
	(1.643951946e-13,-3.134124676e-13)	(4.965987089e-46,3.830719228e-45)	(-1.160607058e-43,2.761590313e-44)	(2.065821939e-44,2.029545592e-44)	(3.758231213e-13,2.387325733e-13)
	(-2.341343552e-13,-1.169521096e-14)	(-3.404980878e-13,-6.235121881e-13)	(1.522273334e-13,-2.479290742e-13)	(1.682426084e-13,-4.476117343e-13)	(2.171322237e-13,-4.112684176e-14)
	(-2.610375962e-13,-1.698736684e-13)	(-8.719187782e-13,-7.410774144e-14)	(-5.709292752e-13,-5.651557484e-13)	(-5.04896422e-13,3.670911027e-13)	(2.21891586e-13,-2.706834957e-13)
	(-4.7621385e-13,-6.10744731e-13)	(9.16123805e-13,-7.639730864e-13)	(-5.673071208e-14,2.391936473e-14)	(1.586585261e-13,-2.674953341e-14)	(4.838644173e-13,-6.703087841e-13)
	(-2.311891036e-13,-1.317198262e-13)	(2.430269572e-13,3.499164746e-13)	(-6.916660503e-13,-3.596462128e-13)	(-5.88876321e-13,-7.070026747e-13)	(1.299068012e-13,2.586302219e-13)
	(4.70167364e-13,3.195843069e-13)	(9.953919004e-13,6.385292393e-13)	(2.45142158e-13,3.835372657e-13)	(-7.127118276e-13,2.187545016e-13)	(-1.744293633e-14,1.173227008e-13)
	(1.992385652e-13,4.461684711e-13)	(-3.177711706e-13,-2.121423458e-14)	(3.191453116e-13,2.923023141e-13)	(9.114398012e-45,5.334509249e-45)	(-4.801006613e-13,-1.977351773e-13)
	(-1.997415014e-14,-9.800158347e-13)	(-4.420475882e-13,3.720467911e-14)	(-2.200043577e-13,-9.271219929e-13)	(5.396822285e-13,-3.757136228e-13)	(2.893164911e-45,-1.476698453e-46)
	(1.862208134e-13,-7.602939713e-13)	(1.059755949e-12,1.019534194e-12)	(5.142701436e-14,5.303274904e-14)	(-3.009971495e-13,-9.829140243e-14)	(1.15112089e-13,3.174040795e-13)
	(8.149821232e-14,2.90307707e-13)	(-4.771700192e-13,4.036686516e-13)	(-1.560697176e-13,9.473171608e-14)	(2.606668187e-14,2.60221348e-13)	(7.570898154e-13,-5.316783405e-13)
	(2.17105103e-13,-5.772754344e-13)	(-1.796130798e-13,1.698657942e-14)	(-3.630315939e-13,3.169449183e-13)	(-2.452632353e-13,1.751895473e-13)	(2.886028593e-13,-5.0116455e-14)
	(1.097463836e-13,5.229838555e-13)	(1.274485249e-44,1.406943276e-44)	(-1.291977605e-43,7.150530834e-45)	(-8.372262096e-45,-5.787285196e-45)	(1.94429789e-12,1.577465575e-13)
	(1.053397349e-44,4.983714288e-45)	(-1.818703016e-43,1.078057642e-44)	(-3.745765759e-45,-1.393541875e-44)	(-1.698566217e-13,-2.998266988e-13)	(1.765378127e-13,5.379443189e-13)
	(6.859294155e-13,4.170496237e-13)	(-5.777261052e-14,6.505195589e-14)	(-3.946867615e-13,-7.039467665e-14)	(-9.398570214e-14,6.992149017e-13)	(-1.411646316e-14,-1.659787634e-13)
	(-3.328021326e-13,3.784279842e-13)	(1.099987166e-12,2.71077445e-13)	(-1.791617527e-13,-1.167214924e-13)	(2.938600662e-13,1.688720503e-13)	(-9.093361783e-14,1.665343721e-13)
	(-2.666495228e-13,-2.545562185e-13)	(9.978222465e-14,5.945877934e-13)	(1.44607724e-13,2.63540326e-13)	(1.218129102e-12,3.097858367e-13)	(8.341454716e-14,-4.001849907e-14)
	(-5.528874584e-13,9.105915885e-14)	(-6.839255811e-13,1.439057845e-13)	(6.43112592e-13,-4.388389455e-13)	(3.977434918e-13,4.088455423e-13)	(-8.844705133e-13,2.49025119e-13)
	(1.640528151e-13,3.586707356e-13)	(5.847930897e-13,1.302255714e-13)	(4.919053082e-13,1.065636711e-13)	(-4.472693025e-13,7.57226154e-13)	(-8.890234119e-14,-7.206024542e-13)
	(4.397932795e-13,4.541750845e-13)	(-2.989413822e-13,1.355258329e-12)	(-6.478051186e-13,3.421452414e-13)	(1.898687642e-13,6.322888376e-14)	(-1.278226525e-13,1.915945532e-13)
	(-2.229238514e-44,-8.92830303e-45)	(4.959513096e-13,3.47925921e-13)	(-7.455608461e-13,1.099474344e-13)	(6.499003259e-13,-4.082798363e-13)	(8.960829489e-45,1.861007415e-45)
	(-6.45556186e-14,1.48040537e-13)	(-2.921502905e-13,-2.645146158e-13)	(-3.334053407e-13,4.490321527e-13)	(-1.458672837e-13,-5.11339079e-14)	(-3.201468263e-13,3.351096466e-14)
	(-3.320054267e-13,-1.16212437e-13)	(1.028163879e-13,7.464608531e-13)	(-1.960771809e-13,-5.671913419e-13)	(3.535732833e-13,-3.208826545e-13)	(9.740287431e-14,-1.959386015e-13)
	(-1.522294049e-14,4.717528066e-14)	(-5.424431002e-13,4.097058761e-14)	(-1.141745628e-13,7.067972182e-14)	(-4.712727398e-13,4.629886545e-13)	(3.130368764e-14,1.246660601e-13)
	(-1.916953074e-44,2.465012941e-45)	(-5.219812948e-44,1.170825278e-44)	(1.715606042e-44,8.277834094e-45)	(1.025138468e-12,-1.038137511e-13)	(2.313678363e-45,9.375262e-45)
	(-6.45945368e-44,-1.876670451e-45)	(-1.940015522e-44,-1.324384689e-44)	(1.001917388e-13,1.66551443e-13)	(3.819852084e-13,-2.612404911e-13)	(7.112859573e-13,-2.621315588e-13)
	(-1.055631673e-13,1.33877436e-13)	(2.424401758e-13,5.818390698e-14)	(-1.317373675e-13,-2.721151155e-13)	(-1.254897e-13,-5.470290521e-13)	(5.320820878e-13,2.848388052e-14)
	(-2.553003518e-14,-3.796397492e-13)	(3.843914506e-13,-2.869977919e-13)	(1.772859247e-13,1.533120839e-13)	(6.785879254e-13,1.394319807e-12)	(2.504846782e-13,2.89392172e-13)
	(5.175189934e-14,-1.611878972e-13)	(4.480898969e-13,8.826017246e-13)	(5.664304593e-13,-4.038295953e-13)	(3.499244028e-13,2.42506293e-13)	(6.563959636e-13,6.450551042e-13)
	(2.398013626e-14,1.369672944e-12)	(3.87497802e-13,1.743602357e-13)	(-2.975227254e-13,-2.58777883e-13)	(-5.070952935e-13,3.083122862e-13)	(5.057519738e-13,3.604240911e-13)
	(3.606606604e-13,7.417448462e-14)	(2.078879233e-14,3.477320586e-14)	(-5.181138223e-13,7.856000356e-13)	(5.222157294e-13,-2.285503258e-14)	(2.731900085e-13,-4.111976831e-13)
	(3.934612132e-13,9.240070154e-13)	(1.523785026e-13,2.131484159e-14)	(-1.492550406e-13,-4.487035857e-13)	(6.451285138e-13,9.840326304e-14)	(9.586961266e-45,-2.775161237e-45)
	(-6.237123257e-15,-6.392771196e-13)	(8.848351062e-13,6.118458833e-13)	(-1.257517661e-44,-1.298470164e-45)	(4.764042793e-14,-1.184469008e-12)	(1.169484081e-12,2.000743857e-13)
	(-1.334954281e-13,9.223293448e-15)	(3.203776046e-14,2.810566284e-13)	(-4.955643688e-13,-7.565837033e-13)	(3.769668846e-13,3.29651482e-13)	(-1.054311598e-13,-3.90982872e-13)
	(-4.657110324e-13,-5.699515811e-13)	(1.019747452e-13,-9.123682232e-13)	(-6.127086881e-13,2.852237799e-13)	(7.048423249e-14,-4.018218104e-13)	(5.895362419e-13,-2.725458161e-13)
	(2.594284171e-13,-6.337373185e-13)	(-4.10892484e-13,-3.681581893e-13)	(-2.940442122e-13,-3.099460462e-13)	(-1.606471639e-14,-5.601543288e-13)	(8.406304616e-45,8.274961636e-45)
	(8.970694235e-45,-8.884850649e-45)	(4.611426024e-45,1.662724066e-44)	(-3.986846962e-13,1.483944034e-13)	(4.727339955e-13,-2.379577748e-13)	(-1.927113302e-13,2.541586801e-13)
	(-1.332417701e-14,6.048807119e-13)	(1.834855255e-45,-9.463043526e-45)	(8.712431726e-44,6.680503598e-45)	(9.380040404e-45,-2.77458857e-44)	(3.113476724e-13,-3.145876349e-13)
	(-1.554458786e-13,-4.233165285e-14)	(2.388245136e-13,-2.770165921e-13)	(5.32655792e-13,-9.62129161e-13)	(-4.694279333e-13,2.942213429e-13)	(-2.349908216e-13,-3.725362645e-13)
	(8.472790027e-13,2.132828045e-13)	(-1.014691997e-12,-4.661682779e-13)	(2.992204479e-13,-6.483283559e-13)	(1.447762751e-13,4.749929782e-13)	(-2.736384973e-13,6.195836868e-14)
	(-1.496661278e-13,-5.058110947e-13)	(-5.920678379e-13,4.583958054e-13)	(6.312707454e-13,-1.717254695e-13)	(5.820147988e-15,-1.787729383e-13)	(8.501206434e-13,1.167393973e-14)
	(4.238132055e-13,-3.741660926e-13)	(1.091388982e-13,-8.393071633e-13)	(-6.269932055e-14,-2.477244296e-13)	(9.075385953e-14,-9.053680859e-13)	(2.757390229e-13,2.687252496e-13)
	(2.244754401e-13,-1.815429058e-13)	(-7.135045471e-13,-1.615234741e-13)	(2.725833374e-13,1.961260672e-13)	(-9.274671328e-13,-8.082729917e-14)	(-1.56153001e-13,-2.751396795e-13)
	(-1.155164487e-12,3.677976212e-15)	(-4.776733591e-13,-5.100507899e-13)	(-1.395870767e-13,-6.988396779e-13)	(6.183256497e-45,-5.432662128e-45)	(-4.912552059e-13,-1.39638922e-13)
	(-3.937817074e-14,-2.990609759e-13)	(-2.299753644e-44,4.272816045e-45)	(5.560518317e-13,-2.578156835e-13)	(9.474625394e-13,-1.530389105e-13)	(7.312223697e-14,2.693265592e-13)
	(-1.003109529e-13,2.163719145e-13)	(4.02360419e-13,3.382218597e-13)	(1.015670677e-12,-7.249984146e-14)	(2.294185013e-13,-4.423155804e-13)	(2.161418546e-13,-2.499797693e-13)
	(4.75074816e-13,1.177653023e-13)	(-1.903910211e-13,3.656051548e-13)	(4.335846635e-13,2.669101119e-13)	(-2.583174211e-13,-5.176164181e-13)	(-2.130519762e-13,7.743211671e-13)
	(-2.830888273e-13,-4.354129845e-14)	(-3.649090147e-13,5.037319469e-13)	(-4.453174861e-13,4.37730169e-13)	(1.57600476e-44,-8.87499298e-45)	(7.606103041e-44,7.779755408e-45)
	(-1.414553941e-45,-7.237246526e-45)	(-1.43757022e-12,8.516427416e-14)	(6.300623668e-13,-1.912716958e-13)	(-1.04103885e-13,-1.30103706e-13)	(-7.232883233e-13,-2.620669194e-13)
	(6.813009051e-13,-5.990955069e-13)	(-2.972330007e-14,6.197498112e-13)	(-6.461124259e-13,-1.148791678e-12)	(-1.54823507e-13,-2.241009364e-13)	(2.011614267e-13,-1.349968703e-13)
	(-9.008374491e-14,2.807977299e-13)	(-5.293788065e-13,-1.373906865e-12)	(-3.119855996e-13,-7.771598502e-13)	(5.51566378e-14,2.193053584e-13)	(-1.285483553e-13,-5.142519655e-13)
	(-8.423830789e-13,-1.463499088e-13)	(5.391606531e-13,1.981944204e-14)	(-6.978916702e-13,-8.989396476e-15)	(4.094500749e-13,-8.841664958e-13)	(-2.089017401e-45,2.11811564e-44)
	(-1.161519873e-13,1.251480025e-12)	(-1.169277692e-12,4.122924271e-13)	(-4.209927958e-13,-3.300476527e-13)	(-6.302040799e-13,6.181439044e-13)	(3.664314724e-13,5.891805687e-13)
	(-1.099972171e-13,1.146278878e-13)	(1.019459654e-12,-4.238769158e-13)	(-2.307994133e-13,5.58516553e-13)	(9.609509322e-13,-1.709650462e-13)	(-1.713350675e-13,7.959855903e-13)
	(-4.488068588e-13,-3.325616357e-13)	(7.741019654e-13,8.422076355e-13)	(4.59296179e-13,2.872134788e-13)	(1.003419275e-12,1.175404323e-13)	(2.049172335e-13,-1.473361483e-13)
	(6.508886639e-14,1.865839711e-13)	(-1.208936628e-13,2.823788207e-13)	(6.10810621e-13,-6.805119022e-14)	(-1.349713519e-12,7.024891533e-13)	(-4.669327904e-13,-2.412595252e-13)
	(2.133548599e-13,4.607121778e-15)	(-8.144797645e-13,-6.631115525e-13)	(-3.765961835e-13,-3.940559698e-13)	(3.542726173e-13,1.914667931e-13)	(-1.601899058e-12,-3.773810988e-13)
	(-8.560143116e-15,2.8427896e-13)	(-3.502577594e-13,-1.109194991e-13)	(-8.029609883e-13,-4.02935875e-13)	(3.803854623e-45,-2.104181786e-44)	(1.511939804e-13,1.139831305e-12)
	(-1.507249022e-12,5.857395047e-13)	(-2.343619843e-45,-1.758386193e-44)	(1.220932166e-43,-1.427558426e-44)	(1.011097512e-44,5.101505304e-46)	(2.647936333e-44,3.989038996e-45)
	(2.7233356e-44,5.383217454e-45)	(2.124441172e-44,1.447687617e-44)	(-9.087841497e-13,1.275950251e-13)	(4.273787691e-13,-1.908294984e-14)	(-1.71256777e-13,1.68034472e-13)
	(-1.704580484e-14,-4.469366875e-13)	(-3.446908872e-13,-4.823328687e-13)	(-2.06951593e-13,3.446527093e-13)	(-4.84454367e-13,-7.792722617e-13)	(-8.16357837e-13,1.495351133e-13)
	(8.386273948e-13,2.982408015e-13)	(-1.497193575e-12,-2.010516706e-13)	(-9.456800741e-13,-4.112356111e-13)	(6.634163655e-13,3.049602178e-13)	(4.675655262e-13,-1.751218525e-13)
	(7.426798007e-13,8.158848928e-14)	(2.17694153e-44,2.941215889e-44)	(1.103396165e-12,8.416204767e-13)	(-6.694394417e-13,2.122082876e-12)	(-5.509307382e-13,-2.176703408e-13)
	(1.104366642e-12,-4.619758838e-13)	(2.979232713e-13,2.876168847e-13)	(-2.576393255e-14,-1.164607081e-13)	(2.52543918e-13,-1.448852478e-13)	(3.222620796e-14,-2.982714142e-13)
	(3.540490616e-13,4.245140739e-13)	(4.138553515e-13,-1.24922865e-12)	(-2.637575645e-13,1.999174152e-13)	(-3.48438346e-13,5.970375015e-13)	(-1.291131084e-12,5.92374713e-13)
	(-2.953035164e-13,-1.458209511e-12)	(5.438536098e-13,6.417286201e-13)	(-6.010998366e-15,2.421853085e-13)	(5.236383724e-13,-7.980795972e-14)	(1.779526872e-14,3.300814938e-13)
	(3.524695529e-13,-1.139650064e-13)	(5.863591554e-15,2.547351585e-13)	(-1.789483745e-13,4.607922621e-13)	(5.107768485e-13,6.95207406e-13)	(-2.818543719e-44,-1.326825078e-44)
	(2.412418976e-13,1.414454598e-13)	(-4.682675157e-13,7.372068907e-13)	(-2.978390426e-44,2.435837325e-44)	(1.365977251e-43,6.334091966e-45)	(-3.442426796e-44,1.560003909e-44)
	(-2.654277018e-44,-2.105873982e-44)	(1.617454337e-43,1.272519343e-45)	(1.69906017e-44,1.026621527e-44)	(1.805184272e-13,6.517086279e-13)	(-2.594200831e-14,-1.13263643e-13)
	(4.559607088e-13,7.303587383e-13)	(-2.281239553e-45,2.488462679e-44)	(7.35239317e-44,1.216809634e-45)	(-1.840575438e-44,-2.056560905e-44)	(-1.445753412e-12,1.889706886e-15)
	(-3.001240503e-13,3.431871716e-13)	(-1.060587435e-13,-2.838216184e-13)	(4.347788929e-13,1.001123874e-12)	(1.406210854e-13,4.665431772e-13)	(3.337411806e-13,-3.156059975e-13)
	(-3.875373816e-13,3.507516271e-13)	(3.710642916e-13,4.178082179e-13)	(2.654113893e-14,-2.7298429e-13)	(6.008967213e-14,3.842237274e-13)	(-9.292937386e-14,7.389497919e-13)
	(5.175448611e-13,-1.249458757e-13)	(2.17450821e-13,-4.565484156e-13)	(2.318502033e-13,-6.071804265e-13)	(4.178957006e-13,5.410277609e-13)	(-2.145528122e-13,-5.671683253e-13)
	(-8.467920145e-14,8.489166198e-14)	(-1.370474309e-44,-9.501366578e-45)	(-5.347142278e-13,-8.739301581e-13)	(3.003861212e-13,-6.75266657e-13)	(3.163633547e-13,-1.367009948e-12)
	(3.447567444e-13,-1.504038964e-13)	(-4.907075619e-14,5.409529142e-13)	(4.285412177e-13,3.265863772e-13)	(1.304631447e-13,-1.014617891e-12)	(-9.497905423e-14,-1.403326005e-14)
	(-5.094934548e-13,-1.353299116e-12)	(5.117093738e-14,-6.97188162e-13)	(4.069753075e-13,5.611106595e-13)	(5.446652425e-44,2.343494157e-44)	(9.546936115e-13,-4.499236941e-13)
	(4.47174617e-13,1.972707236e-13)	(2.640316863e-13,-8.198194972e-14)	(-1.940322559e-13,-9.901402466e-14)	(-3.021186756e-14,-1.145542683e-12)	(-2.007359883e-13,-3.654894835e-13)
	(2.868557754e-13,-3.90181818e-13)	(9.26320945e-45,-2.091663963e-44)	(5.7709005e-44,-3.176912897e-44)	(-5.286362567e-45,1.61662049e-45)	(-1.341526305e-12,3.416865928e-13)
