96240	
	(4269222.236,0)	(3846325.95,0)	(4245249.475,0)	(3824730.028,0)	(4221732.923,0)
	(3803545.164,0)	(4286159.283,0)	(3861583.761,0)	(4198676.386,0)	(3782774.785,0)
	(4176070.418,0)	(3762410.377,0)	(4069706.801,0)	(3666594.616,0)	(4090100.576,0)
	(3684965.844,0)	(4153913.672,0)	(3742450.722,0)	(4110930.513,0)	(3703730.046,0)
	(4132201.008,0)	(3722891.187,0)	(4698761.208,0)	(4233290.26,0)	(4830962.944,0)
	(4352393.135,0)	(4796247.701,0)	(4321117.364,0)	(4730291.698,0)	(4261696.453,0)
	(4765286.485,0)	(4293223.803,0)	(4689004.957,0)	(4224500.609,0)	(4854038.367,0)
	(4373182.211,0)	(4937137.517,0)	(4448049.085,0)	(4997611.089,0)	(4502531.978,0)
	(4972290.59,0)	(4479719.852,0)	(4924709.665,0)	(4436852.234,0)	(4890547.419,0)
	(4406074.312,0)	(4656586.395,0)	(4195294.514,0)	(4628200.325,0)	(4169721.412,0)
	(4575345.395,0)	(4122104.635,0)	(4547321.103,0)	(4096857.737,0)	(4595140.28,0)
	(4139937.636,0)	(4517659.291,0)	(4070135.708,0)	(4537291.695,0)	(4087822.21,0)
	(4489582.483,0)	(4044841.706,0)	(4461062.325,0)	(4019148.398,0)	(4328414.856,0)
	(3899650.041,0)	(4433885.226,0)	(3994665.123,0)	(4407174.814,0)	(3970602.373,0)
	(4380122.688,0)	(3946231.875,0)	(4353660.7,0)	(3922393.12,0)	(3552169.197,0)
	(3200409.461,0)	(3551395.734,0)	(3199712.978,0)	(3552491.758,0)	(3200699.905,0)
	(3554726.972,0)	(3202713.09,0)	(3556003.166,0)	(3203862.547,0)	(3555716.204,0)
	(3203604.064,0)	(3553750.013,0)	(3201833.133,0)	(3552159.313,0)	(3200400.419,0)
	(3559386.692,0)	(3206910.114,0)	(3557611.627,0)	(3205311.291,0)	(3557813.831,0)
	(3205493.41,0)	(3564352.069,0)	(3211382.507,0)	(3561692.222,0)	(3208986.736,0)
	(3565028.665,0)	(3211991.927,0)	(3613840.469,0)	(3255958.152,0)	(3607137.752,0)
	(3249920.776,0)	(3570747.05,0)	(3217142.601,0)	(3574492.423,0)	(3220516.149,0)
	(3599929.119,0)	(3243427.723,0)	(3594526.563,0)	(3238561.466,0)	(3578612.939,0)
	(3224227.604,0)	(3583069.252,0)	(3228241.527,0)	(3589131.047,0)	(3233701.559,0)
	(3587877.804,0)	(3232572.728,0)	(3567935.913,0)	(3214610.546,0)	(3601193.047,0)
	(3244566.179,0)	(3615119.256,0)	(3257109.988,0)	(3636451.726,0)	(3276324.978,0)
	(3629474.552,0)	(3270040.353,0)	(3621355.377,0)	(3262727.095,0)	(3644719.274,0)
	(3283771.908,0)	(3653010.851,0)	(3291240.501,0)	(3662021.924,0)	(3299357.189,0)
	(5563119.84,0)	(5012048.227,0)	(5503745.606,0)	(4958550.963,0)	(3680344.819,0)
	(3315861.524,0)	(3671534.038,0)	(3307925.212,0)	(3783778.082,0)	(3409030.266,0)
	(3796893.185,0)	(3420844.004,0)	(3758188.431,0)	(3385979.883,0)	(3772649.045,0)
