70578	
	(1.227812951,0)	(0,-11.37490467)	(12.93163184,0)	(4.01930512,0)	(0,-17.34623315)
	(21.07668206,0)	(5.265946243,0)	(0,-16.7403441)	(21.27074415,0)	(8.670648633,0)
	(0,-18.64076379)	(24.51110945,0)	(3.628051454,0)	(0,-15.16188375)	(18.65495204,0)
	(2.22199109,0)	(0,-10.7801433)	(13.64180323,0)	(2.416265704,0)	(0,-14.39113107)
	(17.04841354,0)	(4197.517461,0)	(1.943261219,0)	(0,-12.04492639)	(14.43554882,0)
	(1.220258511,0)	(0,-9.485733559)	(11.32609481,0)	(4751.864494,0)	(2.914687392,0)
	(0,-16.51945673)	(19.42943768,0)	(4.670433829,0)	(0,-12.45635674)	(17.04327467,0)
	(5684.094116,0)	(2.340896213,0)	(0,-16.55592706)	(18.85021945,0)	(8.893963531,0)
	(0,-22.23267018)	(28.10678153,0)	(12.77084663,0)	(0,-27.29730232)	(33.76684051,0)
	(26.14154992,0)	(0,-25.84238177)	(11.93687695,0)	(28.51285931,0)	(0,-27.8431683)
	(15.35603724,0)	(25.52002031,0)	(0,-23.47063759)	(17.0442701,0)	(26.87008599,0)
	(0,-25.81608058)	(22.13225189,0)	(18.7688722,0)	(0,-15.85422292)	(11.51372069,0)
	(-6755.67414,0)	(24.67177181,0)	(0,-23.40389479)	(12.29450895,0)	(-5096.04688,0)
	(21.7852346,0)	(0,-19.76959645)	(11.50503061,0)	(20.4512157,0)	(0,-18.24394186)
	(17.04257516,0)	(27.98196051,0)	(0,-26.6817694)	(17.04987075,0)	(17.38644875,0)
	(0,-19.40944841)	(23.41896047,0)	(12.89955202,0)	(0,-24.42537913)	(30.78372702,0)
	(1857.69385,0)	(16.09681049,0)	(0,-29.12872207)	(35.60842813,0)	(18.27458346,0)
	(0,-27.94648418)	(33.81962892,0)	(12.85205475,0)	(0,-21.38318616)	(27.49245315,0)
	(13.53781188,0)	(0,-18.25357793)	(23.74443173,0)	(2274.099108,0)	(25.81116776,0)
	(0,-26.82762118)	(26.56718172,0)	(21.49653132,0)	(0,-21.45765183)	(22.68919719,0)
	(-2121.073986,0)	(22.77833844,0)	(0,-26.73520541)	(30.14916344,0)	(19.02304234,0)
	(0,-25.41879378)	(30.67594244,0)	(29.67596398,0)	(0,-30.01591833)	(14.725806,0)
	(29.14628554,0)	(0,-30.96536491)	(12.35794774,0)	(31.40098244,0)	(0,-32.69503392)
	(15.18938051,0)	(25.03971482,0)	(0,-26.56242917)	(9.244188626,0)	(27.43312143,0)
	(0,-28.22671508)	(11.79921569,0)	(-4881.919132,0)	(20.62098946,0)	(0,-23.57223986)
	(5.730637255,0)	(22.81065126,0)	(0,-25.10588093)	(7.299774558,0)	(-5245.542092,0)
	(26.92736482,0)	(0,-29.39410354)	(10.04163744,0)	(24.87527536,0)	(0,-28.07422445)
	(8.18146023,0)	(22.78468334,0)	(0,-26.58435408)	(6.634282809,0)	(18.64410631,0)
	(0,-22.19351197)	(4.528092734,0)	(-5408.007094,0)	(14.94354001,0)	(0,-18.45504243)
	(2.927647644,0)	(20.31838703,0)	(0,-24.50123253)	(5.173825709,0)	(16.96483168,0)
	(0,-21.11639545)	(3.615802636,0)	(1.812849067,0)	(0,-2.993348266)	(0.04325680791,0)
	(10.28504987,0)	(0,-13.99688465)	(1.346266382,0)	(7.323833384,0)	(0,-10.47225066)
	(0.6926603635,0)	(11.42877544,0)	(0,-14.77940007)	(1.725351053,0)	(-5892.361542,0)
	(13.54605185,0)	(0,-17.53510212)	(2.320669384,0)	(5.17242335,0)	(0,-7.465615607)
