67798	
	(-9.518016515e-33,-5.873834017e-33)	(3.140259915e-34,-5.15866708e-34)	(-6.629160779e-33,-3.994837266e-33)	(0.4682581877,0.2808791987)	(-0.07566545491,0.1242999621)
	(1.238168097,0.7463617865)	(0.1367067962,0.08198866982)	(-0.07609825843,0.1250150972)	(1.056912712,0.6382673917)	(1.02688249,0.615303998)
	(-0.1585180537,0.2604093114)	(2.278877393,1.373936879)	(0.5367652251,0.3217698408)	(-0.1753707229,0.2881147746)	(2.088945493,1.263717365)
	(0.1628372592,0.0976729607)	(-0.114039855,0.1873550634)	(1.2468699,0.7554866093)	(-1101.392533,-690.9808355)	(0.5979161061,0.3583702669)
	(-0.1493480857,0.245352644)	(2.012979843,1.215320577)	(-1094.472706,-686.1822543)	(0.2759047871,0.1654176984)	(-0.1295736776,0.2128714667)
	(1.577160431,0.9538378347)	(0.5947141562,0.3564937448)	(-0.2038605453,0.3349282281)	(2.312477047,1.400274762)	(0.2739993649,0.1643259547)
	(-0.1467913813,0.2411673813)	(1.575668271,0.9552828421)	(0.8431445876,0.5052983976)	(-0.1955622168,0.3212812504)	(2.498986746,1.509653946)
	(1.378790202,0.8260088297)	(-0.2174802115,0.3572790877)	(2.935578329,1.77084215)	(3.702939799,2.210288977)	(-0.2308923549,0.3791998647)
	(1.360622989,0.8170545146)	(2.759090967,1.647358013)	(-0.164048704,0.2694252213)	(0.9152660196,0.5494520816)	(3.22110471,1.920532527)
	(-0.2035978025,0.3343453039)	(0.784720677,0.4709389727)	(2.694860303,1.607767046)	(-0.1650630585,0.2710780279)	(0.6633937431,0.3981632286)
	(22.86635083,-16.12457337)	(2.462770455,1.473754201)	(-0.1613179086,0.2649762303)	(2.025142638,1.216964823)	(1.20518615,0.72231147)
	(-0.1024981045,0.1683712662)	(1.612682289,0.9705684285)	(-7.702189782e-33,-4.65087617e-33)	(4.312405516e-34,-7.083513181e-34)	(-5.578026457e-33,-3.319094603e-33)
	(-574.121336,-371.0947679)	(1.829914608,1.094096522)	(-0.09855515156,0.1618748387)	(1.036793516,0.6222229266)	(3.356537057,2.00691654)
	(-0.2117028221,0.3477236232)	(2.156942802,1.295876118)	(2.865035121,1.712043423)	(-0.1671017897,0.2744531773)	(1.368549531,0.8216668314)
	(46.55913081,-1.338144738)	(3.788825696,2.262994415)	(-0.2353228028,0.3864931952)	(1.703230292,1.023070028)	(1.762128887,1.045807783)
	(-0.1308017695,0.2147078178)	(0.1081357436,0.06474235026)	(1.200644678,0.7123763808)	(-0.09053156462,0.1486069179)	(0.05164151068,0.03090678706)
	(8.533358729,-26.25270008)	(1.980371414,1.175984856)	(-0.1446143052,0.2373961911)	(0.148143004,0.08872932477)	(1.3298897,0.7896529694)
	(-0.09819525185,0.1612020809)	(0.07136964964,0.04273196881)	(35.78376502,-9.71670584)	(1.260491531,0.7481493364)	(-0.09416833339,0.1545839432)
	(0.06002460932,0.03593032187)	(2.079717246,1.235465199)	(-0.1500795631,0.2463793411)	(0.17440941,0.1044854047)	(1.916426004,1.138895268)
	(-0.1370133839,0.2249421394)	(0.1623897112,0.09729477734)	(3.317475685,1.973884895)	(-0.2268279545,0.3724225752)	(0.5325316064,0.3193900998)
	(3.078181058,1.8325771)	(-0.2063237572,0.3387798592)	(0.5274287959,0.3163750771)	(2.710164455,1.61123657)	(-0.1902263371,0.3123057468)
	(0.3208835336,0.1923455156)	(2.587128874,1.538790893)	(-0.1792397773,0.2942856307)	(0.3239906159,0.194235094)	(13.29514863,-22.95087096)
	(3.840825159,2.287197873)	(-0.2561417627,0.4205835903)	(0.808135251,0.4849303639)	(4.429414129,2.639288772)	(-0.2916064974,0.4788408715)
	(1.160961831,0.6969389937)	(5.086151914,3.034683986)	(-0.3323641255,0.5458374553)	(2.060627594,1.237977023)	(4.667904917,2.782977641)
	(-0.3037204031,0.4987588351)	(1.448251192,0.8696464353)	(3.680666718,2.193404236)	(-0.2388213231,0.3921701592)	(0.877949408,0.5269058423)
	(-7.38726947,-34.97867711)	(4.131574656,2.464531199)	(-0.2627144603,0.4314399572)	(1.353411797,0.8126586552)	(-1.005069156e-32,-2.214266811e-32)
