63409	
	(-0.008296696935,0.007809587368)	(1.811775062e-34,-4.8708772e-35)	(2.230211279e-34,-1.717521483e-34)	(4.95353771e-35,-8.926818889e-36)	(1.434147191e-34,-1.306913376e-34)
	(0.004559043867,-0.001386750823)	(0.00154799306,-0.001241877799)	(-0.008047108528,0.007312529428)	(3.030368209e-18,-2.355170496e-18)	(-1.152698483e-17,9.027507592e-18)
	(1.018463162e-34,-2.488664249e-35)	(1.234841757e-34,-8.873051227e-35)	(0.01209252693,-0.004171152774)	(-3.239339726e-17,2.722717598e-17)	(-9.529851529e-17,8.020255816e-17)
	(5.046689905e-19,-3.779357949e-19)	(9.474978864e-19,-7.104401437e-19)	(-0.0004568666339,0.000339394189)	(-0.0008319973595,0.0006254524748)	(1.049254351e-18,-7.753989361e-19)
	(1.923170141e-18,-1.422783896e-18)	(0.009074875894,-0.005365119019)	(-0.0003925081539,0.0002870079187)	(-0.0006897192854,0.0005093274353)	(-2.097250319e-16,1.691600713e-16)
	(-5.091184135e-16,4.11059635e-16)	(-0.0003957296679,0.0003161434553)	(-0.0008986775182,0.0007265810871)	(-0.0002839917516,0.0002250937034)	(-0.0006269349266,0.0005010242365)
	(-2.802902169e-35,1.616211548e-35)	(2.956171097e-35,-2.092229055e-35)	(0.007323328891,-0.004528760903)	(-0.0004480384908,0.000337442226)	(-0.0008364451432,0.0006374278023)
	(-0.0004650188569,0.0003559907042)	(-0.000919198142,0.0007129389697)	(-3.203519973e-16,2.497068676e-16)	(-6.867575139e-16,5.354290672e-16)	(0.007861986625,-0.004790405151)
	(-0.0002893402087,0.0002268020863)	(-0.0006208043118,0.0004903960481)	(-3.261281844e-35,1.838539398e-35)	(3.548920067e-35,-2.371741203e-35)	(0.008531950325,-0.005129170511)
	(-1.684934955e-16,1.296089598e-16)	(-3.461895198e-16,2.667708936e-16)	(-0.0004379289037,0.0003396203719)	(-0.0009027908303,0.0007087693415)	(-0.0005649885938,0.0004448615678)
	(-0.001208172402,0.0009666530676)	(0.007853659769,-0.004781800159)	(-0.0007145814324,0.0005570760289)	(-0.001470473171,0.001169689602)	(-0.0006688708762,0.0005306872869)
	(-0.001456324157,0.001178454885)	(-0.0003661360829,0.0002956318198)	(-0.0008739437958,0.0007137882372)	(-0.000278313247,0.0002329029075)	(-0.0007818657179,0.0006610728901)
	(-2.517380895e-35,1.485271017e-35)	(2.602011974e-35,-1.948586789e-35)	(0.006174412616,-0.003914121762)	(-0.0003853120428,0.0003157734031)	(-0.0009741211284,0.0008085125997)
	(-0.0003748474399,0.0003104061723)	(-0.0009801035691,0.0008218664217)	(-3.871175878e-16,3.159450806e-16)	(-9.916195243e-16,8.085642665e-16)	(0.006703294544,-0.004188092304)
	(1.891805166e-16,-1.558851042e-16)	(4.958864727e-16,-4.092776099e-16)	(-0.0007431427161,0.0006032116341)	(-0.001766732197,0.001468599316)	(-0.001432780996,0.0008212712591)
	(-0.001546750119,0.0009149782374)	(-0.001544901333,0.0008368104711)	(-0.001545588137,0.0008660630061)	(-0.0009892057307,0.0005794214063)	(-0.001122767032,0.000671657333)
	(-0.001100202274,0.0006003373183)	(-0.001128460352,0.0006303168601)	(0.01454923619,-0.007150042041)	(-0.0009921081383,0.0005529260273)	(-0.001047211096,0.0005960767751)
	(-0.0009026904807,0.0005136110417)	(-0.0009812892641,0.0005694457514)	(0.0139497021,-0.007041661519)	(-0.001531092431,0.000859982184)	(-0.001606323751,0.0009328203723)
	(-0.001564332149,0.0009535787243)	(-0.001848379431,0.001166592248)	(-0.001084692843,0.0006712199384)	(-0.00132769346,0.0008414206105)	(-0.001494575243,0.000881096689)
	(-0.00168089041,0.001023854749)	(-0.001087895332,0.0006552040284)	(-0.001286039187,0.0007931771776)	(0.01309384545,-0.006803443443)	(-0.001543656255,0.0009660055924)
	(-0.001896718589,0.00122885583)	(-0.001096135689,0.0006963377614)	(-0.001404189839,0.0009141613268)	(0.01223301693,-0.006548726995)	(-0.00106452141,0.0006937625614)
	(-0.001429643433,0.000954368302)	(-0.001529501772,0.000985210141)	(-0.001975192933,0.001317604826)	(-0.0008078204893,0.0005849241281)	(-0.001352777008,0.0009994694214)
	(0.009736799605,-0.005630479233)	(-0.000867539558,0.0006168173565)	(-0.001386366608,0.001006865353)	(-0.001223379022,0.0008831134739)	(-0.001997658724,0.001487337212)
	(-0.0008417695387,0.0006194306054)	(-0.001469252517,0.001104304187)	(-0.001487603963,0.0009822089215)	(-0.002007781752,0.001372052106)	(-0.0009403142705,0.000656335291)
	(-0.001448921454,0.001034149354)	(0.01050480835,-0.005941695586)	(-0.001406565631,0.0009744221722)	(-0.002089370198,0.001497491993)	(-0.0009882350456,0.0006748534927)
	(-0.001452045843,0.00101494928)	(-0.001059438643,0.0007077557123)	(-0.001483985933,0.00101568155)	(0.01137501958,-0.006269949668)	(-0.001302566499,0.0009237162556)
	(-0.002038903377,0.001493033821)	(-0.001486161,0.001007826804)	(-0.002106298516,0.001479599656)	(-0.002095369451,0.001087504034)	(-0.001945801826,0.001058325256)
	(-0.001989533724,0.001070423139)	(-0.001941278654,0.00109185807)	(0.01501778653,-0.007229502049)	(-0.001943027856,0.0010836468)	(-0.001991812049,0.001159525211)
	(-0.002485954492,0.001364667642)	(-0.002445419052,0.001419964031)	(-0.0024908916,0.001325555432)	(-0.002353712119,0.001325172765)	(0.001395605349,-0.001121757636)
	(-0.01836627032,0.02017488897)	(-8.477024981e-20,6.564810265e-20)	(-0.02228549272,0.02636078095)	(-0.0001481702695,0.0001505088112)	(0.001625657721,-0.001175673999)
	(-0.02323535826,0.02754870697)	(2.203866275e-33,-5.719050805e-33)	(-0.02769270455,0.03660213985)	(0.001389645376,-0.0003470404454)	(-0.03055222285,0.04676720872)
	(3.974656307e-34,-4.638049795e-33)	(-0.03046484265,0.04539374232)	(4.815691429e-05,-5.121695978e-05)	(-5.887868927e-34,-4.161833962e-33)	(-0.03121611965,0.05441856633)
	(0.001558082588,-0.000845476859)	(-0.02808665388,0.03739134335)	(-4.560801642e-14,1.069913588e-14)	(-2.159645033e-14,5.063497194e-15)	(-0.0006891458933,0.000192054624)
	(-0.0003633876344,0.0001041805446)	(-0.0009278466282,0.0002336237466)	(-0.0004456763792,0.0001163103557)	(-0.001466708965,0.0004003182698)	(-0.0007416689802,0.0002138572435)
