63409	
	(0.007381153633,-0.008763608736)	(-1.75991529e-34,7.18059816e-35)	(-2.043676504e-34,1.996377212e-34)	(-5.093235233e-35,1.75961616e-35)	(-1.285837426e-34,1.47698154e-34)
	(-0.0045667039,0.002124294666)	(-0.001395516667,0.001424578857)	(0.007142910639,-0.008180216437)	(-2.255945129e-34,8.09047741e-35)	(-2.161714278e-34,1.761335389e-34)
	(-1.023177287e-34,4.149206009e-35)	(-1.153189466e-34,1.063268069e-34)	(-0.01174813866,0.005853742906)	(4.588649799e-35,-3.48789188e-35)	(-4.284853342e-35,4.084874853e-35)
	(6.158769702e-35,-4.454521516e-35)	(-6.550790786e-35,5.441069698e-35)	(0.0004168565939,-0.000390708893)	(0.0007588200406,-0.0007192808315)	(3.199359269e-35,-2.298278495e-35)
	(-3.375309235e-35,2.77044061e-35)	(-0.008442514569,0.006378812184)	(0.0003586046245,-0.0003311701688)	(0.000629766981,-0.0005869715344)	(5.214829977e-35,-3.894369243e-35)
	(-4.897033058e-35,4.419222131e-35)	(0.0003590531981,-0.0003607411169)	(0.0008138788156,-0.0008271712491)	(0.0002578156019,-0.0002570556554)	(0.0005683632731,-0.000571199231)
	(2.60831382e-35,-1.924919105e-35)	(-2.706710818e-35,2.418245929e-35)	(-0.00679730906,0.005350028805)	(0.0004085705241,-0.0003880079469)	(0.0007617453554,-0.0007315161473)
	(0.0004234025622,-0.0004083684246)	(0.0008359016256,-0.0008163323744)	(2.890923311e-35,-2.127205212e-35)	(-2.867153438e-35,2.480139958e-35)	(-0.007298742707,0.00566660026)
	(0.0002627476716,-0.0002591904696)	(0.0005636032669,-0.0005601110233)	(3.022457368e-35,-2.186187466e-35)	(-3.245082528e-35,2.747764219e-35)	(-0.007933059821,0.006085792606)
	(6.113853617e-35,-4.46850402e-35)	(-6.011681061e-35,5.143953321e-35)	(0.0003979159255,-0.0003885823019)	(0.0008197553824,-0.0008099398495)	(0.0005131646004,-0.0005084554879)
	(0.001095439446,-0.001102273378)	(-0.007296916045,0.005662777179)	(0.0006496258673,-0.0006375907122)	(0.001334083737,-0.001334963187)	(0.0006069650919,-0.0006058408722)
	(0.001318663827,-0.001341481936)	(0.0003312854063,-0.0003363025677)	(0.0007902061692,-0.0008110476739)	(0.0002510942596,-0.0002638525113)	(0.0007049282303,-0.0007482007371)
	(2.357041065e-35,-1.776047478e-35)	(-2.386073555e-35,2.248986577e-35)	(-0.005716814439,0.004601476033)	(0.0003483661578,-0.0003587224755)	(0.0008800830413,-0.0009174328749)
	(0.0003387996729,-0.0003524182972)	(0.000884602537,-0.0009314350509)	(2.536597089e-35,-1.902626508e-35)	(-2.438557594e-35,2.223082984e-35)	(-0.006212356062,0.004934322317)
	(4.983810787e-35,-3.765685488e-35)	(-4.856472441e-35,4.478405957e-35)	(0.0006730510152,-0.0006867637976)	(0.00159604841,-0.001666586374)	(0.00133549913,-0.0009861038026)
	(0.001436796132,-0.001091303504)	(0.001443212955,-0.001013574647)	(0.00144124924,-0.001042988155)	(0.0009188505124,-0.000691907998)	(0.001040598765,-0.0007984447276)
	(0.00102707484,-0.0007258908977)	(0.001052272556,-0.0007593292929)	(-0.01369836901,0.008796191445)	(0.0009271864943,-0.0006674534376)	(0.0009767219113,-0.0007170079011)
	(0.0008432598346,-0.0006185089618)	(0.0009120177788,-0.0006810790496)	(-0.01311244791,0.008619740339)	(0.001427838463,-0.001035345341)	(0.001494546609,-0.001116687686)
	(0.001450139192,-0.001131894076)	(0.001709555298,-0.001377185121)	(0.001004413857,-0.0007946356459)	(0.001227300052,-0.0009923695203)	(0.001388686915,-0.001051695956)
	(0.00155834409,-0.001215444704)	(0.001009316754,-0.0007792122814)	(0.00119164629,-0.00093991224)	(-0.01228483295,0.008278928117)	(0.001428321978,-0.001141790856)
	(0.001750721438,-0.001444655637)	(0.001013135631,-0.0008210300706)	(0.001295506627,-0.001073711622)	(-0.01145766899,0.007926201764)	(0.0009822195643,-0.0008148187154)
	(0.001316736699,-0.001116835095)	(0.001412328549,-0.001159232643)	(0.001818948502,-0.001541869322)	(0.0007389196238,-0.0006761124114)	(0.001235394828,-0.001152049063)
	(-0.009077800979,0.006726265232)	(0.0007949319314,-0.0007150049503)	(0.001268015709,-0.001163514928)	(0.00111951206,-0.001021549621)	(0.001823047291,-0.00171274889)
	(0.000769147916,-0.0007145845481)	(0.001339811619,-0.001270025773)	(0.001371083065,-0.001151304654)	(0.001845464958,-0.001599769637)	(0.0008624367003,-0.0007624622569)
	(0.001327155895,-0.001198007805)	(-0.009802533341,0.007119291287)	(0.001291372643,-0.001133825318)	(0.001913243969,-0.001734088432)	(0.0009084627339,-0.0007869380313)
	(0.001332193662,-0.001179335275)	(0.0009755867789,-0.0008280158486)	(0.001363874821,-0.001183917146)	(-0.01063788172,0.007551527908)	(0.001193487102,-0.001070986215)
	(0.001863152923,-0.00172319127)	(0.001366962467,-0.00117654244)	(0.001931734643,-0.001718173022)	(0.001963042891,-0.001327963495)	(0.001818166409,-0.001281551402)
	(0.001859549958,-0.00129836247)	(0.00180967109,-0.001314033365)	(-0.01415225537,0.008928895401)	(0.001812173341,-0.001305956995)	(0.001852289546,-0.001387173648)
	(0.002320646419,-0.001649371499)	(0.00227472407,-0.001699634837)	(0.002329886137,-0.00161119497)	(0.002194213988,-0.001594792344)	(-0.001261686424,0.001275317131)
	(0.01588845355,-0.02217862023)	(-1.681080527e-33,5.284706591e-33)	(0.01913608125,-0.02887254646)	(0.0001256757317,-0.0001107781795)	(-0.00145801679,0.001316811617)
	(0.01999807778,-0.0302189216)	(-1.466234262e-33,5.849504821e-33)	(0.02334054428,-0.03970322453)	(-0.001357672938,0.0005157353229)	(0.02501728074,-0.05018959925)
	(2.539352261e-34,4.628319349e-33)	(0.02505817843,-0.0487857377)	(4.917421004e-06,2.074955827e-05)	(9.663830116e-34,4.161579657e-33)	(0.02476471529,-0.05787221071)
	(-0.001478693704,0.001050113217)	(0.02363018323,-0.04053815048)	(1.163745026e-34,-6.147119325e-35)	(-4.352271238e-34,1.986814777e-34)	(0.0006564651492,-0.0002697536327)
	(0.0003490372768,-0.0001460602424)	(0.0008968580457,-0.0003414770401)	(0.0004293340757,-0.0001679080186)	(0.001412565223,-0.0005706223967)	(0.0007135171147,-0.0002998728794)
	(6.073327227e-35,-3.251847108e-35)	(-2.104538769e-34,9.955382446e-35)	(-0.02054905448,0.009883287557)	(6.779255675e-35,-3.706492456e-35)	(-1.940706822e-34,9.832510617e-35)
	(-0.01924134201,0.009880320694)	(0.0006381666584,-0.0002794961968)	(0.0003592855451,-0.0001600820027)	(0.001087605995,-0.0005160510989)	(0.0006701907557,-0.0003262014661)
	(0.001311421105,-0.0005978315092)	(0.0007588111414,-0.0003572941743)	(0.001269814858,-0.0005450087805)	(0.0006911976837,-0.0003067391293)	(-0.01995579565,0.009847847437)
	(0.001904467017,-0.0008497425325)	(0.001058724469,-0.0004959140861)	(0.001972500083,-0.0008339571698)	(0.001032026285,-0.0004601566315)	(0.002766873924,-0.001808415125)
	(0.002368948199,-0.001643524868)	(0.002466990258,-0.001653721072)	(0.002213089401,-0.001563824133)	(0.002333770739,-0.001487568795)	(0.001963880331,-0.001315405252)
	(0.002104760965,-0.001379046381)	(0.001856379013,-0.001271359121)	(-0.01515384826,0.009203149227)	(0.003190105947,-0.001955521395)	(0.002470893024,-0.001624862072)
	(0.003018041021,-0.001920851477)	(0.002469429107,-0.001678562016)	(0.002647756817,-0.001586167241)	(0.002035661691,-0.001291486137)	(0.002596176885,-0.001610305328)
	(0.002090019326,-0.001370612232)	(-0.01607022646,0.009406138879)	(0.00225957485,-0.001087457665)	(0.001354740362,-0.0006883409832)	(0.002119419409,-0.001135333433)
	(0.001446355449,-0.0008122527803)	(-0.01778735679,0.009698912678)	(0.002079670636,-0.001076211381)	(0.001360918957,-0.0007381767853)	(0.003283695223,-0.001945312662)
	(0.002426182208,-0.00154628556)	(0.00242848851,-0.001352742996)	(0.001717998985,-0.001009451616)	(0.002733599351,-0.00158099279)	(0.002002008023,-0.001229502753)
	(-0.01703681503,0.009586581847)	(0.003190657624,-0.001800284776)	(0.002229017834,-0.001351251675)	(0.002929470656,-0.00159117327)	(0.001975738551,-0.001146928168)
	(0.002917212247,-0.001532577961)	(0.001889212035,-0.001061798704)	(0.002993517008,-0.001503856116)	(0.001835218545,-0.0009903076552)	(0.00206272853,-0.001030430582)
	(0.001296827124,-0.0006798488996)	(-0.01859674904,0.009789155082)	(-1.192143223e-34,3.758347476e-35)	(-1.234011927e-34,9.45132812e-35)	(-0.0143217571,0.006041602536)
	(-1.424655147e-34,4.375153163e-35)	(-1.333873112e-34,8.469282209e-35)	(-0.01703705719,0.006553607897)	(-0.00214919731,0.002110190637)	(0.01291386646,-0.0162161376)
	(-0.00991387863,0.004305603309)	(-0.002662060653,0.002437019623)	(0.0175052879,-0.02394796295)	(-0.002881824689,0.002568624654)	(0.01221491824,-0.01398677663)
	(-0.001482535085,0.001454975601)	(0.006731178639,-0.007411260077)	(-0.002108298251,0.001807427946)	(0.007116003154,-0.007003809643)	(-2.697111052e-34,8.84046918e-35)
	(-2.409641346e-34,1.653166901e-34)	(-0.002227295235,0.00182010118)	(0.006841279175,-0.006355668616)	(-3.107936237e-34,9.197598932e-35)	(-2.658551712e-34,1.445455824e-34)
	(-1.651066158e-34,4.534026174e-35)	(-1.487682667e-34,7.586858495e-35)	(-0.01980926848,0.006640482158)	(-0.002279058939,0.001722380681)	(0.006315826939,-0.005530758805)
	(-3.394595292e-34,8.005874384e-35)	(-2.793361096e-34,1.111682595e-34)	(3.81890546e-35,-2.946350392e-35)	(-3.695528737e-35,3.720328058e-35)	(0.00026002644,-0.0002782052847)
	(0.0008091155145,-0.0008750477312)	(0.0002325205237,-0.0002465520038)	(0.0006903992137,-0.0007390057122)	(4.065540478e-35,-3.125207135e-35)	(-3.994244739e-35,3.887715884e-35)
	(2.156308017e-35,-1.647625063e-35)	(-2.060095645e-35,1.983411006e-35)	(-0.005120538294,0.004151408562)	(0.0002101883249,-0.0002284352517)	(0.0007364990235,-0.0008084569302)
	(0.0002524120871,-0.0002722041403)	(0.0008166595547,-0.0008903775769)	(1.946732421e-35,-1.490199038e-35)	(-2.019644983e-35,2.008973083e-35)	(-0.004629372851,0.003792962449)
	(0.0007025431381,-0.0007432288063)	(0.001965587221,-0.002139540724)	(0.0005668760061,-0.0005926936553)	(0.001500999493,-0.00160288821)	(0.0004752446837,-0.0005016875036)
	(0.001342928047,-0.001444914022)	(-0.005537352344,0.004433224659)	(0.0004841058033,-0.0005157731104)	(0.001439670813,-0.001564850432)	(0.000806742123,-0.000760284889)
	(0.001456016776,-0.001403052499)	(-0.008492099301,0.006389728803)	(0.001136460164,-0.001075049965)	(0.00202923937,-0.001981857177)	(0.0008016410574,-0.0007676242876)
	(0.001505641213,-0.001474647229)	(0.001129747421,-0.001046371108)	(0.001910022775,-0.001823118219)	(0.001459102567,-0.001357197157)	(0.002444393333,-0.002366753879)
	(0.0006936877241,-0.0006975222006)	(0.001540987113,-0.00158463973)	(-0.006947254479,0.005414277725)	(0.0007995155628,-0.0007771475988)	(0.001579531861,-0.00157216595)
	(-0.007782365799,0.00594707606)	(0.0009023134386,-0.0009106432714)	(0.002005281532,-0.002085262947)	(0.0007373681514,-0.0007293252404)	(0.001542438646,-0.001560540665)
	(0.001114472742,-0.001089686754)	(0.002195739176,-0.002221190632)	(0.001036358015,-0.00103038854)	(0.002165021291,-0.002224797841)	(0.001112513877,-0.00106880879)
	(0.002074695189,-0.002058412689)	(0.001238073602,-0.001235919933)	(0.002583264155,-0.002685257191)	(0.0008022503946,-0.0008407268073)	(0.002110591345,-0.002281206097)
	(0.0006671695968,-0.0006903510827)	(0.001675560024,-0.001776113561)	(-0.006207956044,0.00491288188)	(0.0009690830638,-0.001001644078)	(0.002360143606,-0.002527724402)
	(0.0008709743973,-0.0008915635127)	(0.002057149598,-0.002171288489)	(0.001097468012,-0.001111601421)	(0.002436660894,-0.002561949634)	(-0.006906877033,0.00536801742)
	(0.001355107016,-0.001368387574)	(0.00291408246,-0.003082441989)	(0.001181706523,-0.001208870073)	(0.002708150854,-0.00288947714)	(0.001074838937,-0.00112492973)
	(0.002740340136,-0.002991332775)	(0.001818639514,-0.001393390635)	(0.002043635197,-0.001629264122)	(0.002246740118,-0.001695744993)	(0.00241630845,-0.001916466687)
	(0.001798934008,-0.001337117398)	(0.001923617836,-0.001486185021)	(-0.01315453925,0.00859245282)	(0.002261921174,-0.001657727558)	(0.002325409523,-0.001790151505)
	(0.001739424952,-0.001482047444)	(0.002364733386,-0.002100833503)	(0.002260996565,-0.001808789085)	(0.002673071988,-0.00225271719)	(0.001808375482,-0.001464947431)
	(0.002232032449,-0.001884489782)	(0.002247082169,-0.001746617717)	(0.002534807123,-0.002072415359)	(0.001858628809,-0.001466691955)	(0.002189433531,-0.001800954951)
	(-0.01218603345,0.008213346084)	(0.001778240213,-0.001478026527)	(0.002303845044,-0.001996453068)	(-0.01124760526,0.007803495793)	(0.002140314353,-0.001801459238)
	(0.002785141262,-0.002468700954)	(0.002195519262,-0.001801578227)	(0.002720671031,-0.002351207728)	(0.001976901432,-0.001776259084)	(0.002959768446,-0.00280211901)
	(0.00211784627,-0.00186390416)	(0.003009927575,-0.002797799351)	(0.001490241864,-0.001356646401)	(0.002364076147,-0.002238474694)	(-0.009431177368,0.00689722154)
